Simulation,hp,a,b,c,h0,v0,y0,rho0,hddot0,tp_lamb,tf_sim,Initial drag,Integral drag,Integral hor drag,Integral ver drag,Integral drag no v,Periapsis velocity,Energy Diff
10000.0,100.0,0.008840304520349606,-0.008742834695731967,-0.013567470919257576,160000.0,4211.909211271564,-0.103889201570197,9.824e-11,1.6019943336096758,266.35847908302895,535.1767307256248,0.02235374561395116,5675.936411681477,5674.177354014142,-0.1097976321114224,0.000314094489421009,4253.762164739264,52248.68765600538
10000.0,101.0,0.007593852013531735,-0.007506728837128973,-0.013525542235117805,160000.0,4211.965023115781,-0.1029966695725924,9.841e-11,1.6021265092122499,264.1649015409809,530.4316418664991,0.022396403233540637,4871.030740732847,4869.510513869803,-0.08087613970452476,0.00026954170808122016,4253.856041431179,44839.225578473415
10000.0,102.0,0.006528339707689068,-0.006450479491992352,-0.01350534944866648,160000.0,4212.020825951709,-0.1020966287945242,1.3267609012111284e-11,1.6022525817046374,261.9504387076347,525.6610116363995,0.0030005396875938417,4184.442873714298,4183.127683721459,-0.06057283724722667,0.00023155346894615178,4253.834395595213,38517.80219259299
10000.0,103.0,0.005616564187891494,-0.005545991234284238,-0.0134656781205615,159999.99999999953,4212.0766197815465,-0.1011888787153749,9.876000000000436e-11,1.6023908008143213,259.71455460482537,520.9475393760272,0.02248376498467027,3596.902710909115,3595.7634562825547,-0.0424742789445709,0.00019905503950550703,4253.695648296458,33107.23009602539
10000.0,104.0,0.004834421987364372,-0.00477120396209636,-0.013416745434181985,159999.99999999907,4212.132404607485,-0.1002732098058767,9.893000000000897e-11,1.6025229160856624,257.45668937568183,516.2177597349163,0.022526466974392024,3093.7548055079537,3092.766980227131,-0.033252973169288325,0.00017123009822707423,4253.468602445191,28473.85038346611
10000.0,105.0,0.004165482950650914,-0.00410763920668098,-0.013372866083406808,160000.0,4212.18818043172,-0.09934940295165254,1.3267782500810255e-11,1.6026490064756231,255.1762577620875,511.45925682962906,0.0030008678749840873,2663.400753517962,2662.5429937663057,-0.024611644712919656,0.00014743374139738322,4253.171394759153,24510.419247831218
10000.0,106.0,0.0035937697789984965,-0.0035397227515533898,-0.01331912633674046,160000.0,4212.243947256443,-0.0984172288284698,9.929e-11,1.6027870876347103,252.87264745485936,506.6933791798445,0.022616317503645542,2295.5198606756603,2294.7740397882,-0.018726578263633442,0.000127092969016302,4252.80336933134,21122.354956170544
10000.0,107.0,0.0031033232253134557,-0.0030548173292540004,-0.013286174997213192,160000.0,4212.29970508385,-0.0974764472241698,1.3267609012111284e-11,1.6029131915075987,250.54521730335554,501.872982417445,0.0030010208066637927,1981.321029773252,1980.671698699789,-0.013982749309984221,0.00010972035762666396,4252.374116001453,18228.633286636323
10000.0,108.0,0.0026841066704491995,-0.0026386311939319393,-0.013245647306028275,160000.0,4212.355453916132,-0.096526806301573,9.964e-11,1.6030511778868783,248.19329536958674,496.98426289893285,0.022705476680925867,1712.0882297718124,1711.5221318008741,-0.010530328510814257,9.483321788414765e-05,4251.905004762398,15749.158388406038
10000.0,109.0,0.0023222210065605613,-0.0022810137423673396,-0.013207887660340084,159999.9999999986,4212.411193755477,-0.0955680417960107,9.981000000001372e-11,1.6031831924240563,245.8161768100001,492.2243051622333,0.022749159790113525,1480.687836059038,1480.1936334844447,-0.007837602490262139,8.203676414111308e-05,4251.388260814429,13618.292202556506
